AccountID,CustomerName,AccountType,Balance,OpenDate,Branch,Status
ACC0001,Cynthia Martin,Checking,111258.42,2023-08-30,Eastside,Active
ACC0002,Patricia Gonzales,Checking,88614.83,2026-01-19,Downtown,Active
ACC0003,Sharon Watson,Checking,84230.63,2018-05-19,Southside,Active
ACC0004,Rebecca Roberts,Checking,113845.22,2024-08-14,Southside,Active
ACC0005,Sandra Scott,Savings,15421.32,2022-02-23,Midtown,Active
ACC0006,Timothy Powell,Savings,121088.53,2018-03-24,Airport,Active
ACC0007,Larry Anderson,Savings,124427.76,2019-06-22,Northside,Active
ACC0008,Roger Lee,Checking,99223.37,2017-09-27,Westside,Inactive
ACC0009,Sharon White,Savings,41768.24,2019-04-13,Northside,Active
ACC0010,Nancy Hill,Savings,105302.86,2018-09-29,Midtown,Active
ACC0011,Helen Price,Checking,24594.03,2022-02-25,Westside,Inactive
ACC0012,Cynthia Alexander,Checking,102723.68,2016-12-15,Downtown,Active
ACC0013,Michael Evans,Savings,40234.36,2024-01-16,Northside,Active
ACC0014,Carol Bell,Savings,21516.45,2024-11-04,Eastside,Active
ACC0015,Jerry Mitchell,Savings,134683.65,2021-12-06,Northside,Active
ACC0016,Karen Brooks,Savings,13727.32,2025-11-18,Midtown,Active
ACC0017,Thomas Bryant,Savings,89501.71,2022-02-03,Southside,Active
ACC0018,Emily Sanders,Savings,145664.65,2016-10-03,Downtown,Active
ACC0019,Steven Bryant,Savings,115312.95,2022-08-05,Midtown,Active
ACC0020,Thomas Ward,Checking,143077.01,2016-08-02,Westside,Inactive
ACC0021,Charles Watson,Checking,130590.73,2023-01-23,Eastside,Active
ACC0022,Thomas Bennett,Checking,89881.79,2020-12-05,Downtown,Active
ACC0023,Jose Parker,Checking,8782.98,2016-07-24,Midtown,Active
ACC0024,Raymond Lee,Checking,19345.88,2021-01-29,Uptown,Active
ACC0025,Sharon Cooper,Checking,139344.13,2017-12-09,Eastside,Active
ACC0026,Sandra Foster,Savings,65771.2,2020-08-09,Airport,Active
ACC0027,Mark Lee,Savings,3253.04,2020-03-13,Eastside,Active
ACC0028,James Martinez,Checking,34418.37,2026-01-21,Northside,Active
ACC0029,Paul Roberts,Savings,32214.1,2024-12-04,Airport,Active
ACC0030,Andrew Bailey,Checking,14239.44,2019-01-07,Southside,Active
ACC0031,Frank Torres,Checking,101037.35,2019-03-01,Midtown,Active
ACC0032,Brenda Stewart,Checking,37373.58,2024-04-10,Airport,Active
ACC0033,Donna Roberts,Savings,37545.99,2025-07-25,Airport,Active
ACC0034,Dennis White,Checking,97856.52,2020-05-06,Downtown,Inactive
ACC0035,Paul Young,Savings,72897.6,2024-01-05,Southside,Inactive
ACC0036,Helen Cook,Checking,147797.8,2023-06-08,Airport,Active
ACC0037,Shirley Myers,Savings,23304.04,2023-01-30,Eastside,Inactive
ACC0038,Patrick Ford,Checking,112221.54,2025-10-07,Downtown,Active
ACC0039,Gregory Sanders,Checking,8626.25,2020-09-17,Midtown,Active
ACC0040,Christopher Perry,Checking,101314.36,2023-10-09,Southside,Active
ACC0041,Walter Nelson,Checking,92945.29,2021-09-15,Northside,Inactive
ACC0042,Richard Foster,Savings,35879.02,2021-12-20,Uptown,Active
ACC0043,Jason Ward,Savings,139359.85,2025-08-05,Downtown,Active
ACC0044,Walter White,Checking,80691.4,2020-09-25,Westside,Active
ACC0045,Timothy Lee,Checking,55492.11,2024-08-21,Airport,Active
ACC0046,Roger Campbell,Checking,100212.69,2020-03-10,Westside,Inactive
